#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
48775,13.534,28.943,14.007,29.354,14.003,28.530,13.065,28.530,13.061,29.354,7,0.764,0,0.5,MS230430d,48775,0.764
49173,12.727,29.736,13.204,30.147,13.200,29.323,12.255,29.323,12.251,30.147,6,0.496,1,0.5,MS230430d,49173,0.496
49176,15.455,29.736,15.931,30.147,15.927,29.323,14.982,29.323,14.978,30.147,11,0.454,2,0.5,MS230430d,49176,0.454
36264,29.469,5.947,29.884,6.359,29.883,5.535,29.055,5.535,29.054,6.359,18,0.301,3,0.5,MS230430d,36264,0.301
47967,12.444,27.357,12.910,27.768,12.907,26.944,11.982,26.944,11.979,27.768,9,0.293,4,0.5,MS230430d,47967,0.293
38961,26.577,10.705,26.997,11.117,26.996,10.293,26.158,10.293,26.157,11.117,10,0.275,5,0.5,MS230430d,38961,0.275
40299,27.630,13.084,28.053,13.495,28.052,12.671,27.208,12.671,27.206,13.495,27,0.269,6,0.5,MS230430d,40299,0.269
47966,11.556,27.357,12.021,27.768,12.018,26.944,11.093,26.944,11.090,27.768,6,0.242,7,0.5,MS230430d,47966,0.242
41176,21.273,14.670,21.699,15.081,21.698,14.257,20.848,14.257,20.846,15.081,7,0.221,8,0.5,MS230430d,41176,0.221
44639,16.094,21.013,16.537,21.425,16.534,20.601,15.654,20.601,15.652,21.425,5,0.205,9,0.5,MS230430d,44639,0.205
49172,11.818,29.736,12.295,30.147,12.291,29.323,11.346,29.323,11.342,30.147,10,0.200,10,0.5,MS230430d,49172,0.200
46322,13.846,24.185,14.299,24.596,14.296,23.772,13.396,23.772,13.393,24.596,7,0.193,11,0.5,MS230430d,46322,0.193
42052,19.771,16.256,20.201,16.667,20.199,15.843,19.343,15.843,19.341,16.667,4,0.184,12,0.5,MS230430d,42052,0.184
41174,19.636,14.670,20.063,15.081,20.061,14.257,19.211,14.257,19.210,15.081,7,0.178,13,0.5,MS230430d,41174,0.178
46323,14.712,24.185,15.165,24.596,15.162,23.772,14.261,23.772,14.258,24.596,6,0.177,14,0.5,MS230430d,46323,0.177
48773,11.729,28.943,12.202,29.354,12.198,28.530,11.260,28.530,11.257,29.354,5,0.167,15,0.5,MS230430d,48773,0.167
46324,15.577,24.185,16.030,24.596,16.027,23.772,15.127,23.772,15.124,24.596,6,0.153,16,0.5,MS230430d,46324,0.153
37616,28.000,8.326,28.417,8.738,28.416,7.914,27.584,7.914,27.583,8.738,7,0.149,17,0.5,MS230430d,37616,0.149
43790,21.818,19.427,22.256,19.839,22.254,19.015,21.382,19.015,21.380,19.839,2,0.148,18,0.5,MS230430d,43790,0.148
38962,27.383,10.705,27.802,11.117,27.801,10.293,26.964,10.293,26.963,11.117,5,0.147,19,0.5,MS230430d,38962,0.147
45486,15.429,22.599,15.876,23.011,15.874,22.187,14.984,22.187,14.981,23.011,1,0.146,20,0.9,MS230430d,45486,0.146
49171,10.909,29.736,11.386,30.147,11.382,29.323,10.437,29.323,10.433,30.147,7,0.143,21,0.9,MS230430d,49171,0.143
48372,12.537,28.150,13.006,28.561,13.003,27.737,12.072,27.737,12.068,28.561,5,0.123,22,0.9,MS230430d,48372,0.123
35359,29.404,4.361,29.817,4.773,29.817,3.949,28.991,3.949,28.991,4.773,8,0.117,23,0.9,MS230430d,35359,0.117
44640,16.941,21.013,17.384,21.425,17.381,20.601,16.501,20.601,16.499,21.425,4,0.110,24,0.9,MS230430d,44640,0.110
39408,26.637,11.498,27.058,11.909,27.057,11.085,26.217,11.085,26.216,11.909,5,0.103,25,0.9,MS230430d,39408,0.103
40736,22.805,13.877,23.231,14.288,23.229,13.464,22.382,13.464,22.380,14.288,11,0.101,26,0.9,MS230430d,40736,0.101
44211,15.176,20.220,15.616,20.632,15.614,19.808,14.738,19.808,14.735,20.632,3,0.098,27,0.9,MS230430d,44211,0.098
40289,19.503,13.084,19.927,13.495,19.926,12.671,19.081,12.671,19.080,13.495,4,0.096,28,0.9,MS230430d,40289,0.096
43782,15.105,19.427,15.543,19.839,15.541,19.015,14.669,19.015,14.667,19.839,3,0.095,29,0.9,MS230430d,43782,0.095
36263,28.673,5.947,29.087,6.359,29.086,5.535,28.259,5.535,28.258,6.359,17,0.095,30,0.9,MS230430d,36263,0.095
39853,25.946,12.291,26.368,12.702,26.367,11.878,25.525,11.878,25.524,12.702,9,0.093,31,0.9,MS230430d,39853,0.093
45482,12.000,22.599,12.448,23.011,12.445,22.187,11.555,22.187,11.552,23.011,2,0.093,32,0.9,MS230430d,45482,0.093
45902,12.057,23.392,12.508,23.803,12.505,22.979,11.610,22.979,11.607,23.803,5,0.090,33,0.9,MS230430d,45902,0.090
42928,23.279,17.841,23.713,18.253,23.711,17.429,22.848,17.429,22.846,18.253,3,0.087,34,0.9,MS230430d,42928,0.087
45483,12.857,22.599,13.305,23.011,13.302,22.187,12.412,22.187,12.410,23.011,3,0.082,35,0.9,MS230430d,45483,0.082
40735,21.991,13.877,22.416,14.288,22.415,13.464,21.567,13.464,21.566,14.288,5,0.079,36,0.9,MS230430d,40735,0.079
49181,20.000,29.736,20.476,30.147,20.473,29.323,19.527,29.323,19.524,30.147,4,0.079,37,0.9,MS230430d,49181,0.079
39855,27.568,12.291,27.990,12.702,27.989,11.878,27.147,11.878,27.145,12.702,10,0.075,38,0.9,MS230430d,39855,0.075
44214,17.705,20.220,18.145,20.632,18.143,19.808,17.267,19.808,17.265,20.632,3,0.074,39,0.9,MS230430d,44214,0.074
46737,13.075,24.978,13.531,25.389,13.528,24.565,12.622,24.565,12.619,25.389,1,0.070,40,0.9,MS230430d,46737,0.070
48774,12.632,28.943,13.104,29.354,13.101,28.530,12.163,28.530,12.159,29.354,4,0.068,41,0.9,MS230430d,48774,0.068
49175,14.545,29.736,15.022,30.147,15.018,29.323,14.073,29.323,14.069,30.147,2,0.068,42,0.9,MS230430d,49175,0.068
39854,26.757,12.291,27.179,12.702,27.178,11.878,26.336,11.878,26.334,12.702,6,0.067,43,0.9,MS230430d,39854,0.067
38057,20.846,9.119,21.264,9.531,21.263,8.707,20.430,8.707,20.429,9.531,6,0.065,44,0.9,MS230430d,38057,0.065
40298,26.817,13.084,27.241,13.495,27.239,12.671,26.395,12.671,26.393,13.495,11,0.063,45,0.9,MS230430d,40298,0.063
39850,23.514,12.291,23.936,12.702,23.935,11.878,23.093,11.878,23.091,12.702,4,0.062,46,0.9,MS230430d,39850,0.062
47154,16.683,25.771,17.142,26.182,17.139,25.358,16.227,25.358,16.224,26.182,3,0.060,47,0.9,MS230430d,47154,0.060
48777,15.338,28.943,15.811,29.354,15.807,28.530,14.869,28.530,14.866,29.354,4,0.058,48,0.9,MS230430d,48777,0.058
42924,19.954,17.841,20.388,18.253,20.386,17.429,19.522,17.429,19.520,18.253,4,0.058,49,0.9,MS230430d,42924,0.058
35355,26.225,4.361,26.639,4.773,26.638,3.949,25.812,3.949,25.812,4.773,5,0.056,50,0.9,MS230430d,35355,0.056
36715,28.736,6.740,29.151,7.152,29.151,6.328,28.322,6.328,28.321,7.152,4,0.055,51,0.9,MS230430d,36715,0.055
