#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
18338,215.474,34.364,216.196,34.953,216.186,33.770,214.763,33.770,214.753,34.953,12,1.566,0,0.5,MS230429d,18338,1.566
17781,210.857,32.182,211.561,32.771,211.551,31.588,210.163,31.588,210.154,32.771,8,0.944,1,0.5,MS230429d,17781,0.944
17495,205.352,31.091,206.047,31.681,206.039,30.498,204.666,30.498,204.657,31.681,6,0.441,2,0.5,MS230429d,17495,0.441
18610,216.000,35.455,216.732,36.044,216.721,34.861,215.279,34.861,215.268,36.044,10,0.433,3,0.5,MS230429d,18610,0.433
17494,204.085,31.091,204.780,31.681,204.771,30.498,203.398,30.498,203.389,31.681,11,0.401,4,0.5,MS230429d,17494,0.401
18339,216.788,34.364,217.510,34.953,217.500,33.770,216.077,33.770,216.067,34.953,6,0.383,5,0.5,MS230429d,18339,0.383
16624,197.816,27.818,198.488,28.408,198.481,27.225,197.151,27.225,197.143,28.408,14,0.325,6,0.5,MS230429d,16624,0.325
10000,176.707,4.909,177.302,5.500,177.300,4.317,176.114,4.317,176.113,5.500,3,0.320,7,0.5,MS230429d,10000,0.320
18611,217.333,35.455,218.065,36.044,218.054,34.861,216.613,34.861,216.602,36.044,8,0.244,8,0.5,MS230429d,18611,0.244
18064,217.040,33.273,217.752,33.862,217.742,32.679,216.337,32.679,216.327,33.862,6,0.222,9,0.9,MS230429d,18064,0.222
17211,206.969,30.000,207.656,30.590,207.648,29.407,206.290,29.407,206.282,30.590,2,0.219,10,0.9,MS230429d,17211,0.219
9342,176.170,2.727,176.763,3.319,176.762,2.136,175.578,2.136,175.578,3.319,4,0.202,11,0.9,MS230429d,9342,0.202
8354,175.076,-0.545,175.667,0.046,175.668,-1.137,174.484,-1.137,174.485,0.046,3,0.198,12,0.9,MS230429d,8354,0.198
9671,176.170,3.818,176.763,4.409,176.763,3.226,175.578,3.226,175.577,4.409,1,0.178,13,0.9,MS230429d,9671,0.178
10329,177.805,6.000,178.400,6.591,178.399,5.408,177.211,5.408,177.209,6.591,7,0.168,14,0.9,MS230429d,10329,0.168
8683,175.076,0.545,175.668,1.137,175.667,-0.046,174.485,-0.046,174.484,1.137,9,0.152,15,0.9,MS230429d,8683,0.152
18880,219.248,36.545,219.990,37.135,219.979,35.952,218.517,35.952,218.506,37.135,13,0.150,16,0.9,MS230429d,18880,0.150
16328,195.254,26.727,195.920,27.317,195.913,26.134,194.595,26.134,194.589,27.317,7,0.144,17,0.9,MS230429d,16328,0.144
18609,214.667,35.455,215.398,36.044,215.387,34.861,213.946,34.861,213.935,36.044,15,0.137,18,0.9,MS230429d,18609,0.137
9012,175.076,1.636,175.668,2.228,175.668,1.045,174.484,1.045,174.484,2.228,5,0.131,19,0.9,MS230429d,9012,0.131
16329,196.475,26.727,197.140,27.317,197.133,26.134,195.816,26.134,195.809,27.317,9,0.127,20,0.9,MS230429d,16329,0.127
12284,183.354,12.545,183.961,13.136,183.959,11.953,182.749,11.953,182.747,13.136,18,0.122,21,0.9,MS230429d,12284,0.122
16033,196.913,25.636,197.572,26.226,197.566,25.043,196.260,25.043,196.253,26.226,8,0.119,22,0.9,MS230429d,16033,0.119
10985,180.000,8.182,180.598,8.773,180.597,7.590,179.403,7.590,179.402,8.773,5,0.119,23,0.9,MS230429d,10985,0.119
11636,181.111,10.364,181.714,10.955,181.711,9.772,180.511,9.772,180.509,10.955,4,0.118,24,0.9,MS230429d,11636,0.118
12606,183.925,13.636,184.535,14.227,184.532,13.044,183.318,13.044,183.315,14.227,14,0.117,25,0.9,MS230429d,12606,0.117
10656,177.248,7.091,177.845,7.682,177.843,6.499,176.652,6.499,176.651,7.682,7,0.111,26,0.9,MS230429d,10656,0.111
11311,180.554,9.273,181.154,9.864,181.152,8.681,179.956,8.681,179.954,9.864,6,0.105,27,0.9,MS230429d,11311,0.105
6379,170.642,-7.091,171.237,-6.499,171.239,-7.682,170.045,-7.682,170.047,-6.499,2,0.098,28,0.9,MS230429d,6379,0.098
18334,210.219,34.364,210.941,34.953,210.931,33.770,209.507,33.770,209.497,34.953,3,0.094,29,0.9,MS230429d,18334,0.094
16625,199.044,27.818,199.717,28.408,199.710,27.225,198.379,27.225,198.372,28.408,15,0.090,30,0.9,MS230429d,16625,0.090
2849,167.308,-19.091,167.931,-18.498,167.936,-19.681,166.680,-19.681,166.684,-18.498,3,0.089,31,0.9,MS230429d,2849,0.089
16032,195.705,25.636,196.364,26.226,196.358,25.043,195.052,25.043,195.045,26.226,7,0.088,32,0.9,MS230429d,16032,0.088
18608,213.333,35.455,214.065,36.044,214.054,34.861,212.613,34.861,212.602,36.044,4,0.085,33,0.9,MS230429d,18608,0.085
4432,167.103,-13.636,167.710,-13.044,167.713,-14.227,166.493,-14.227,166.496,-13.044,2,0.075,34,0.9,MS230429d,4432,0.075
16626,200.273,27.818,200.945,28.408,200.938,27.225,199.608,27.225,199.601,28.408,10,0.074,35,0.9,MS230429d,16626,0.074
14815,190.519,21.273,191.157,21.863,191.152,20.680,189.887,20.680,189.882,21.863,2,0.072,36,0.9,MS230429d,14815,0.072
12605,182.804,13.636,183.414,14.227,183.411,13.044,182.197,13.044,182.194,14.227,12,0.070,37,0.9,MS230429d,12605,0.070
7694,172.888,-2.727,173.479,-2.136,173.480,-3.319,172.295,-3.319,172.296,-2.136,5,0.069,38,0.9,MS230429d,7694,0.069
6707,171.220,-6.000,171.814,-5.408,171.815,-6.591,170.624,-6.591,170.625,-5.408,3,0.063,39,0.9,MS230429d,6707,0.063
18879,217.895,36.545,218.637,37.135,218.625,35.952,217.164,35.952,217.153,37.135,7,0.063,40,0.9,MS230429d,18879,0.063
16623,196.587,27.818,197.259,28.408,197.252,27.225,195.922,27.225,195.915,28.408,8,0.059,41,0.9,MS230429d,16623,0.059
2537,166.065,-20.182,166.692,-19.589,166.697,-20.772,165.432,-20.772,165.437,-19.589,2,0.059,42,0.9,MS230429d,2537,0.059
11635,180.000,10.364,180.602,10.955,180.600,9.772,179.400,9.772,179.398,10.955,3,0.056,43,0.9,MS230429d,11635,0.056
16917,199.862,28.909,200.542,29.499,200.534,28.316,199.190,28.316,199.183,29.499,6,0.055,44,0.9,MS230429d,16917,0.055
10986,181.104,8.182,181.703,8.773,181.701,7.590,180.508,7.590,180.506,8.773,2,0.051,45,0.9,MS230429d,10986,0.051
16331,198.915,26.727,199.581,27.317,199.574,26.134,198.256,26.134,198.250,27.317,3,0.051,46,0.9,MS230429d,16331,0.051
18063,215.740,33.273,216.452,33.862,216.443,32.679,215.037,32.679,215.028,33.862,7,0.050,47,0.9,MS230429d,18063,0.050
10001,177.805,4.909,178.399,5.500,178.398,4.317,177.212,4.317,177.211,5.500,3,0.048,48,0.95,MS230429d,10001,0.048
3162,167.389,-18.000,168.008,-17.408,168.013,-18.591,166.765,-18.591,166.769,-17.408,3,0.044,49,0.95,MS230429d,3162,0.044
2536,164.903,-20.182,165.531,-19.589,165.536,-20.772,164.271,-20.772,164.275,-19.589,4,0.042,50,0.95,MS230429d,2536,0.042
12285,184.472,12.545,185.079,13.136,185.077,11.953,183.867,11.953,183.865,13.136,5,0.037,51,0.95,MS230429d,12285,0.037
2226,163.636,-21.273,164.269,-20.680,164.274,-21.863,162.999,-21.863,163.004,-20.680,5,0.034,52,0.95,MS230429d,2226,0.034
1012,161.879,-25.636,162.532,-25.043,162.539,-26.226,161.220,-26.226,161.226,-25.043,1,0.032,53,0.95,MS230429d,1012,0.032
9673,178.359,3.818,178.952,4.409,178.951,3.226,177.766,3.226,177.765,4.409,1,0.030,54,0.95,MS230429d,9673,0.030
17780,209.571,32.182,210.275,32.771,210.266,31.588,208.877,31.588,208.868,32.771,2,0.029,55,0.95,MS230429d,17780,0.029
10330,178.902,6.000,179.498,6.591,179.497,5.408,178.308,5.408,178.307,6.591,3,0.029,56,0.95,MS230429d,10330,0.029
18340,218.102,34.364,218.824,34.953,218.814,33.770,217.391,33.770,217.381,34.953,3,0.029,57,0.95,MS230429d,18340,0.029
9343,177.264,2.727,177.857,3.319,177.856,2.136,176.673,2.136,176.672,3.319,5,0.028,58,0.95,MS230429d,9343,0.028
10658,179.450,7.091,180.046,7.682,180.045,6.499,178.854,6.499,178.853,7.682,5,0.027,59,0.95,MS230429d,10658,0.027
