#	Observing Date = 2023-04-30
#	Observatory = CBNUO
#	-18 deg sunset = 20:53
#	-18 deg sunrise = 03:57
#	Moon ra, dec = 10:7:14.65   16:43:4.0
#	Moon phase = 0.66
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |      dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight |  note |
| MS230427d | 10:45:11 | 62:43:38 |    14:20 |       20:45 |   03:11 |             47 |   0.005032368900304461 | 23976 |
| MS230427d | 10:51:53 | 63:49:05 |    14:22 |       20:52 |   03:22 |             48 |  0.0009130608030174292 | 24128 |
| MS230427d | 10:52:04 | 61:38:10 |    14:32 |       20:52 |   03:13 |             46 |   0.001025921993879898 | 23820 |
| MS230427d | 10:54:32 | 64:54:32 |    14:20 |       20:54 |   03:30 |             49 |   0.012255213871338606 | 24274 |
| MS230427d | 10:54:32 | 62:43:38 |    14:30 |       20:54 |   03:20 |             47 | 0.00046309679660745326 | 23977 |
| MS230427d | 10:59:32 | 67:05:27 |    14:14 |       20:59 |   03:45 |             51 |    0.01965004017114107 | 24549 |
| MS230427d | 11:01:37 | 63:49:05 |    14:32 |       21:01 |   03:32 |             48 |  0.0009455397598400315 | 24129 |
| MS230427d | 11:02:11 | 65:59:59 |    14:22 |       21:02 |   03:43 |             50 |    0.01038417017369277 | 24415 |
| MS230427d | 11:02:51 | 68:10:54 |    14:12 |       21:03 |   03:55 |             52 |                    0.0 | 24678 |
| MS230427d | 11:04:36 | 64:54:32 |    14:30 |       21:04 |   03:40 |             49 |     0.0414088025399662 | 24275 |
| MS230427d | 11:10:32 | 67:05:27 |    14:25 |       21:11 |   03:56 |             51 |    0.01774444545117922 | 24550 |
| MS230427d | 11:12:00 | 69:16:21 |    14:15 |       21:12 |   04:10 |             54 |   0.008822004953369945 | 24802 |
| MS230427d | 11:12:42 | 65:59:59 |    14:33 |       21:13 |   03:53 |             51 |   0.015525628909391319 | 24416 |
| MS230427d | 11:14:17 | 68:10:54 |    14:23 |       21:15 |   04:06 |             53 |  0.0022993777890524623 | 24679 |
| MS230427d | 11:14:41 | 64:54:32 |    14:40 |       21:15 |   03:50 |             50 |   0.018155315088133256 | 24276 |
| MS230427d | 11:20:00 | 71:27:16 |    14:09 |       21:21 |   04:32 |             56 |   0.006263235380203052 | 25031 |
| MS230427d | 11:21:31 | 67:05:27 |    14:36 |       21:22 |   04:07 |             52 |   0.006729057989729798 | 24551 |
| MS230427d | 11:22:06 | 70:21:49 |    14:18 |       21:23 |   04:26 |             55 |     0.0083281670897343 | 24920 |
| MS230427d | 11:23:12 | 65:59:59 |    14:43 |       21:24 |   04:03 |             51 |   0.010915622340461983 | 24417 |
| MS230427d | 11:24:00 | 69:16:21 |    14:27 |       21:25 |   04:22 |             54 |   0.008105051984741228 | 24803 |
| MS230427d | 11:25:42 | 68:10:54 |    14:35 |       21:26 |   04:17 |             53 | 0.00037881007979666964 | 24680 |
