"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168273","AT 2024adxa","02:14:33.560","-00:46:00.16","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24dpg","Gaia - Gaia-photometric","","1","1","","14.85","G-Gaia","2024-12-08 00:15:50.400","Gaia_Bot1","","","",""
"168272","AT 2024adwz","08:51:06.670","-41:44:42.32","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24dpf","Gaia - Gaia-photometric","","1","1","","17.87","G-Gaia","2024-12-07 16:33:35.000","Gaia_Bot1","","","",""
"168271","AT 2024adwy","09:57:57.540","-39:53:16.55","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24doz","Gaia - Gaia-photometric","","1","1","","18.7","G-Gaia","2024-12-07 22:20:38.400","Gaia_Bot1","","","",""
"168268","AT 2024adwv","09:29:41.390","-38:16:09.26","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24doy","Gaia - Gaia-photometric","","1","1","","17.21","G-Gaia","2024-12-07 04:24:57.600","Gaia_Bot1","","","",""
"168259","AT 2024adwm","10:02:42.939","+35:33:42.55","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mki","PS1 - GPC1","","1","1","","20.52","w-P1","2024-12-07 13:12:12.096","PS1_Bot1","","2024TNSTR4865....1C","",""
"168258","AT 2024adwl","09:05:17.252","-03:05:53.66","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mkh","PS1 - GPC1","","1","1","","20.32","w-P1","2024-12-07 14:34:03.936","PS1_Bot1","","2024TNSTR4865....1C","",""
"168257","AT 2024adwk","08:25:45.408","+27:24:45.95","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mkg","PS1 - GPC1","","1","1","","20.56","w-P1","2024-12-07 11:42:59.616","PS1_Bot1","","2024TNSTR4865....1C","",""
"168249","AT 2024adwc","19:45:19.990","+36:22:28.45","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24dov","Gaia - Gaia-photometric","","1","1","","17.95","G-Gaia","2024-12-06 01:42:14.400","Gaia_Bot1","","2024TNSTR4858....1H","",""
"168248","AT 2024adwb","20:14:35.790","+37:49:52.28","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24dou","Gaia - Gaia-photometric","","1","1","","16.54","G-Gaia","2024-12-06 13:36:28.800","Gaia_Bot1","","2024TNSTR4858....1H","",""
"168247","AT 2024adwa","18:02:45.840","+33:34:41.95","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24dos","Gaia - Gaia-photometric","","1","1","","15.69","G-Gaia","2024-12-06 02:00:57.600","Gaia_Bot1","","2024TNSTR4858....1H","",""
"168246","AT 2024advz","19:47:45.720","+36:05:44.52","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24dor","Gaia - Gaia-photometric","","1","1","","18.93","G-Gaia","2024-12-06 01:40:48.000","Gaia_Bot1","","2024TNSTR4858....1H","",""
"168229","AT 2024advi","23:06:00.799","+15:44:43.89","","","","","ZTF","ZTF","","ZTF","ZTF24abwuucy","P48 - ZTF-Cam","","1","1","","19.813","g-ZTF","2024-12-07 04:43:04.995","Fritz","","2024TNSTR4868....1S","",""
"168216","AT 2024aduv","01:21:02.352","+74:09:15.27","","","","","ALeRCE","ZTF","","ALeRCE","ZTF24abwmydg","P48 - ZTF-Cam","","1","1","","19.9081","r-ZTF","2024-12-06 05:21:43.998","ALeRCE","","2024TNSTR4843....1M","",""
"168212","AT 2024adur","07:53:32.698","-24:49:37.74","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rii","ATLAS-CHL - ATLAS-04","","1","1","","19.354","cyan-ATLAS","2024-12-06 05:32:09.024","ATLAS_Bot1","","2024TNSTR4844....1T","",""
"168202","AT 2024aduh","05:21:28.254","-46:37:41.91","","","","","GOTO","GOTO","","GOTO","GOTO24ixn","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.96","L-GOTO","2024-12-06 13:44:55.968","GOTO_bot","","2024TNSTR4850....1B","",""
"168186","AT 2024adtr","13:00:46.549","+77:43:01.09","","","WISEA J130047.36+774301.7","","ALeRCE","ZTF","","ALeRCE","ZTF24abxgjrp","P48 - ZTF-Cam","","1","1","","20.3388","r-ZTF","2024-12-06 11:18:56.002","ALeRCE","","2024TNSTR4821....1M","",""
"168180","AT 2024adtl","10:18:18.631","-26:41:35.78","","","WISEA J101818.64-264135.7","","ALeRCE","ZTF","","ALeRCE","ZTF24abxmjfj","P48 - ZTF-Cam","","1","1","","20.1654","g-ZTF","2024-12-06 12:29:39.002","ALeRCE","","2024TNSTR4821....1M","",""
"168174","AT 2024adtf","05:50:00.136","-71:09:47.74","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J055000.13-710947.7","BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3","","1","1","","20.18","BG-q-BlackGem","2024-12-07 04:25:43.000","BlackGEM_Bot1","","2024TNSTR4824....1G","",""
"168172","AT 2024adtd","01:40:07.002","-69:51:05.02","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J014007.00-695105.0","BG4 - BlackGEM-Cam4","","1","1","","20.19","BG-q-BlackGem","2024-12-07 01:23:44.000","BlackGEM_Bot1","","2024TNSTR4823....1T","",""
"168171","AT 2024adtc","04:24:26.700","-55:30:30.11","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J042426.69-553030.1","BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3","","1","1","","20.42","BG-q-BlackGem","2024-12-07 03:40:44.000","BlackGEM_Bot1","","2024TNSTR4824....1G","",""
"168160","AT 2024adsr","21:44:42.526","+26:49:06.03","","","","","ZTF, ALeRCE","ZTF","","ALeRCE; ZTF","ZTF24abxgsjr","P48 - ZTF-Cam","","1","1","","20.1078","g-ZTF","2024-12-07 02:12:08.997","Fritz","","2024TNSTR4835....1S","",""
"168152","AT 2024adsj","02:09:46.095","-03:57:36.12","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mjm","PS1 - GPC1","","1","1","","19.96","g-P1","2024-12-06 08:13:12.000","YSE_Bot1","","2024TNSTR4812....1J","",""
"168127","AT 2024adrk","12:37:22.368","+10:02:26.29","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24miq","PS1 - GPC1","","1","1","","20.26","r-P1","2024-12-06 15:08:46.176","YSE_Bot1","","2024TNSTR4812....1J","",""
"168126","AT 2024adrj","22:41:12.755","+36:26:21.40","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mip","PS1 - GPC1","","1","1","","20.11","i-P1","2024-12-07 04:57:37.152","YSE_Bot1","","2024TNSTR4812....1J","",""
"168117","AT 2024adra","12:57:30.492","-11:11:46.33","","","WISEA J125730.47-111146.1","","ALeRCE","ZTF","","ALeRCE","ZTF24aagbdtx","P48 - ZTF-Cam","","1","1","","19.8542","g-ZTF","2024-12-07 12:39:44.001","ALeRCE","","2024TNSTR4803....1M","",""
"168116","AT 2024adqz","20:45:07.404","+58:42:14.60","","","LEDA  167639","0.019524","ALeRCE","ZTF","","ALeRCE","ZTF24abwtpan","P48 - ZTF-Cam","","1","1","","19.8411","r-ZTF","2024-12-07 02:55:43.997","ALeRCE","","2024TNSTR4803....1M","",""
"168112","AT 2024adqv","12:43:05.790","+43:32:30.01","","","SDSS J124305.67+433230.5","0","ALeRCE","ZTF","","ALeRCE","ZTF24abwzadl","P48 - ZTF-Cam","","1","1","","18.3247","g-ZTF","2024-12-07 12:55:19.998","ALeRCE","","2024TNSTR4803....1M","",""
"168110","AT 2024adqt","15:48:36.074","+16:16:12.16","","","","","ZTF","ZTF","","ZTF","ZTF24abxgkbp","P48 - ZTF-Cam","","1","1","","19.4807","r-ZTF","2024-12-06 13:24:18.996","Fritz","","2024TNSTR4813....1S","",""
"168109","AT 2024adqs","14:52:30.609","-03:33:05.91","","","","","ZTF","ZTF","","ZTF","ZTF24abxgjso","P48 - ZTF-Cam","","1","1","","19.337","r-ZTF","2024-12-06 13:29:53.001","Fritz","","2024TNSTR4813....1S","",""
